Timestamp,Temperature (°C),Humidity (%),Sound (dB),Light (LDR),AQI,Heart Rate (bpm),SpO2 (%),Latitude,Longitude
2025-05-20 09:00:00,28.9,57.2,70.5,360,50,83,97,12.972769352186697,79.15755252247746
2025-05-20 09:01:00,29.2,63.1,68.9,956,119,67,98,12.972514957331933,79.15698891772992
2025-05-20 09:02:00,30.6,64.5,96.3,370,63,71,99,12.971687354822889,79.15868665675181
2025-05-20 09:03:00,27.2,73.5,70.9,113,53,83,96,12.970797176144412,79.15836316045967
2025-05-20 09:04:00,27.5,63.9,78.0,236,262,92,93,12.972434814267002,79.15825362252708
2025-05-20 09:05:00,31.3,62.1,69.8,267,211,96,95,12.971022587669152,79.15784085092488
2025-05-20 09:06:00,29.9,71.4,66.6,842,53,71,97,12.971827023313157,79.15657082930751
2025-05-20 09:07:00,30.7,52.3,68.3,809,155,102,98,12.971990891736956,79.15840688824544
2025-05-20 09:08:00,24.4,69.2,66.7,228,144,68,98,12.970904554883937,79.15738333422135
2025-05-20 09:09:00,27.0,59.6,71.4,285,106,70,99,12.970875898636566,79.1581641767476
2025-05-20 09:10:00,26.9,39.9,76.9,888,124,71,99,12.971087982759162,79.15857806364897
2025-05-20 09:11:00,30.1,76.6,72.6,532,127,81,99,12.972275179634757,79.15711933702254
2025-05-20 09:12:00,30.4,57.3,89.3,128,212,95,94,12.971749203282393,79.15778916936192
2025-05-20 09:13:00,26.5,75.1,65.9,934,137,68,99,12.972028099456965,79.15832996388913
2025-05-20 09:14:00,29.3,69.7,75.2,899,147,80,97,12.971773850910553,79.15733927007172
2025-05-20 09:15:00,30.0,51.0,58.1,396,257,93,94,12.970921326066685,79.15683617440706
2025-05-20 09:16:00,29.1,64.3,68.4,315,129,75,98,12.971438694987624,79.1582276896946
2025-05-20 09:17:00,27.5,58.1,68.7,968,137,69,98,12.972747683803401,79.15756402380522
2025-05-20 09:18:00,28.5,42.8,63.5,734,108,80,97,12.971690080686226,79.15771098549341
2025-05-20 09:19:00,29.0,52.8,54.5,748,106,68,97,12.971747762661016,79.1583039633641
2025-05-20 09:20:00,29.8,60.1,57.2,764,54,73,97,12.971005765966492,79.15861397759167
